count	compiler	action	outcome
2	c1	run	reject:impure-data-default
2	c1	run	reject:match-arm-type
2	c1	run	reject:missing-contextual-enum-type
2	c1	run	reject:missing-partial-eq
2	c1	run	reject:missing-trait-method
2	c1	run	reject:mixed-numeric-types
2	c1	run	reject:readonly-argument-to-mutable-parameter
2	c1	run	reject:suspension-forbidden-context
2	c1	run	reject:unsupported-equality
2	c1	test	panic:suspension-nested-driver
2	c1	test	reject:bang-call-outside-suspension
2	c1	test	reject:discarded-must-use-value
2	c1	test	reject:enum-default-order
2	c1	test	reject:expected-newline
2	c1	test	reject:float-literal-range
2	c1	test	reject:identity-needs-reference-bound
2	c1	test	reject:identity-requires-references
2	c1	test	reject:impure-data-default
2	c1	test	reject:match-arm-type
2	c1	test	reject:missing-contextual-enum-type
2	c1	test	reject:missing-partial-eq
2	c1	test	reject:missing-trait-method
2	c1	test	reject:mixed-numeric-types
2	c1	test	reject:readonly-argument-to-mutable-parameter
2	c1	test	reject:suspension-forbidden-context
2	c1	test	reject:unsupported-equality
1	c0	check	reject:ambiguous-method
1	c0	check	reject:binding-not-yet-visible
1	c0	check	reject:break-outside-loop
1	c0	check	reject:defer-outside-cleanup-scope
1	c0	check	reject:duplicate-data-pattern-field
1	c0	check	reject:duplicate-embedded-field
1	c0	check	reject:duplicate-impl-member
1	c0	check	reject:duplicate-trait-member
1	c0	check	reject:duplicate-variant
1	c0	check	reject:generic-type-mismatch
1	c0	check	reject:impure-enum-default
1	c0	check	reject:impure-parameter-default
1	c0	check	reject:invalid-assignment-target
1	c0	check	reject:invalid-map-key
1	c0	check	reject:missing-partial-ord
1	c0	check	reject:nil-needs-optional-type
1	c0	check	reject:no-common-type
1	c0	check	reject:non-reassignable-parameter-binding
1	c0	check	reject:nonfinal-positional-spread
1	c0	check	reject:nonnumeric-unary-plus
1	c0	check	reject:optional-pattern-requires-optional
1	c0	check	reject:partial-generic-arguments
1	c0	check	reject:recursive-closure-needs-result-type
1	c0	check	reject:reserved-name
1	c0	check	reject:result-constructor-needs-context
