path	action	exit	wall_ms	parse_ms	check_ms	emit_ms	assemble_ms	instantiate_ms
spec/conformance/runtime/valid/module-initialization-before-main.hd	test	0	835	0.1	0.2	0.1	6.0	0.7
spec/conformance/runtime/valid/cancellation-unwinds-nested-frames.hd	test --scenario cancellation-cleanup --pending-function wait	0	790	0.2	0.3	0.6	20.5	4.3
spec/conformance/runtime/valid/cancellation-unwinds-suspending-closure.hd	test --scenario cancellation-cleanup --profile pending-gate	0	1008	0.2	0.3	1.2	9.5	0.3
spec/conformance/runtime/valid/cancellation-runs-defer.hd	test --scenario cancellation-cleanup --profile pending-gate	0	804	0.2	0.4	1.0	11.7	0.3
spec/conformance/typing/valid/explicit-generic-method.hd	check	0	538	0.7	0.6	0.9	10.6	0.4
spec/conformance/typing/invalid/partial-generic-method-arguments.hd	check	1	423					
spec/conformance/typing/valid/blanket-impl-and-associated-function.hd	check	0	572	0.2	0.6	0.4	7.0	2.3
spec/conformance/typing/invalid/permission-target-overlap.hd	check	1	479					
spec/conformance/typing/invalid/orphan-impl.hd	check	1	620					
spec/conformance/typing/valid/trait-features.hd	check	0	605	0.4	1.4	0.4	8.0	0.5
spec/conformance/typing/invalid/supertrait-cycle.hd	check	1	416					
spec/conformance/typing/invalid/unsafe-dynamic-trait.hd	check	1	480					
test/fixtures/compiler-types/callbacks/function-values.hd	run --entry main	0	914	0.1	0.3	0.4	7.7	2.5
test/fixtures/compiler-types/callbacks/readonly-result.hd	run --entry main	0	866	0.1	0.2	0.1	6.2	0.6
test/fixtures/compiler-types/callbacks/requirement-function-values.hd	run --entry main	0	721	0.2	0.7	0.1	12.3	0.3
test/fixtures/compiler-types/callbacks/trailing.hd	run --entry main	0	762	0.4	0.3	0.1	8.1	0.7
test/fixtures/compiler-types/closures/captures.hd	run --entry main	0	817	0.2	0.4	0.2	7.6	1.1
test/fixtures/compiler-types/closures/nested-captures.hd	run --entry main	0	691	0.1	0.4	0.1	7.3	5.9
test/fixtures/compiler-types/closures/provider-captures.hd	run --entry main	0	804	0.2	0.5	0.5	6.7	0.2
test/fixtures/compiler-types/closures/requirement-inference/inferred-row.hd	run --entry main	0	773	0.1	0.2	0.1	12.6	0.3
test/fixtures/compiler-types/closures/requirement-inference/missing-requirement.hd	check	1	847					
test/fixtures/compiler-types/closures/requirements.hd	run --entry main	0	868	0.3	1.5	0.3	10.5	0.4
test/fixtures/compiler-types/collections/lists/empty-needs-context.hd	check	1	544					
test/fixtures/compiler-types/collections/lists/erased-storage.hd	run --entry main	0	958	0.2	0.3	0.6	5.8	0.5
test/fixtures/compiler-types/collections/lists/heterogeneous-elements.hd	check	1	732					
test/fixtures/compiler-types/collections/lists/void-element-type.hd	check	1	720					
test/fixtures/compiler-types/collections/maps/empty-needs-context.hd	check	1	1157					
test/fixtures/compiler-types/collections/maps/float-key.hd	check	1	1277					
test/fixtures/compiler-types/collections/maps/heterogeneous-values.hd	check	1	1348					
test/fixtures/compiler-types/collections/maps/lookup-replacement.hd	run --entry main	0	2864	1.0	6.2	1.3	8.8	0.6
test/fixtures/compiler-types/collections/trait-lists.hd	run --entry main	0	2108	0.3	0.7	0.4	12.1	7.3
test/fixtures/compiler-types/data/generic/erased-layout.hd	run --entry main	0	1430	0.3	0.8	0.2	7.0	0.3
test/fixtures/compiler-types/data/generic/mismatched-field-type.hd	check	1	949					
test/fixtures/compiler-types/enums/generic/context-required.hd	check	1	1231					
test/fixtures/compiler-types/enums/generic/erased-payloads.hd	run --entry main	0	1128	1.1	0.8	0.5	15.0	0.4
test/fixtures/compiler-types/enums/generic/unsaturated-type.hd	check	1	849					
test/fixtures/compiler-types/generics/callable-adapter.hd	run --entry main	0	1276	0.3	2.4	0.7	6.4	2.7
test/fixtures/compiler-types/generics/functions/inconsistent-inference.hd	check	1	755					
test/fixtures/compiler-types/generics/functions/inference-and-boxing.hd	run --entry main	0	1493	0.3	1.1	0.4	8.2	0.7
test/fixtures/compiler-types/generics/functions/unresolved-placeholder.hd	check	1	918					
test/fixtures/compiler-types/generics/functions/unsaturated-function-value.hd	check	1	656					
test/fixtures/compiler-types/generics/option-result.hd	run --entry main	0	1321	0.7	1.0	0.2	6.5	0.6
test/fixtures/compiler-types/identity/references/gc-identity.hd	run --entry main	0	1324	0.6	2.1	0.7	17.3	0.2
test/fixtures/compiler-types/identity/references/missing-implementation.hd	check	1	580					
test/fixtures/compiler-types/identity/references/unbounded-generic.hd	check	1	623					
test/fixtures/compiler-types/requirements/abi.hd	run --entry main	0	774	0.6	0.3	0.3	9.9	0.4
test/fixtures/compiler-types/requirements/context-errors/non-context-spread.hd	check	1	482					
